"tvec","lwr","upr"
0,5.25959044172405,8.01684820450691
1,4.99545025398103,8.02935358883132
2,4.74415457278704,8.04483530743698
3,4.5029690417416,8.06283939012389
4,4.27435646801445,8.08285781846553
5,4.05682357837194,8.10442638463701
6,3.84898216368404,8.12715272857702
7,3.65266470331392,8.1507169640742
8,3.46477790395901,8.2233748696184
9,3.28685709435771,8.31520382468972
10,3.11667106680526,8.40966145385641
11,2.95621916241694,8.50636389062374
12,2.80391401079688,8.60446928040176
13,2.65852481788648,8.70892711928366
14,2.52136741085926,8.8066755663936
15,2.39119966558743,8.97073228630734
16,2.26892789319814,9.15409159016531
17,2.15658294010717,9.37205875345819
18,2.05644805604362,9.65375356857055
19,1.95861951625327,10.0184181852658
20,1.86996659152726,10.4751508179489
21,1.78911575014183,11.0185229569599
22,1.71602894777902,11.6353390488524
23,1.64961025117572,12.3086341630476
24,1.58854432815465,13.0213854274221
25,1.53165588873932,13.7596113175294
26,1.47802047201151,14.5138007174569
27,1.42686043626451,15.2796612945263
28,1.3773500170972,16.0530046699594
29,1.33091665549207,16.8465896702484
30,1.28916945391873,17.7408778412612
31,1.25815438307773,18.9358690966851
32,1.24464271076261,20.6920286612588
33,1.25349405848058,23.1973812928511
34,1.28685939106749,26.5646059751254
35,1.34331460875069,30.8018386090295
36,1.4207862890556,35.858343219226
37,1.51608486334885,41.6774388115881
38,1.628403382484,48.1459960685671
39,1.75746541653851,55.2766718650466
40,1.90128643319781,63.1135363808049
41,2.06864422752415,71.6416832252955
42,2.24811385797702,80.9244927534245
43,2.45416014318389,91.0204515082194
44,2.68391779375844,102.00296011263
45,2.94061232106918,113.950297784985
46,3.2274928233399,126.897304807059
47,3.54784871286555,140.888513192074
48,3.90512475477238,156.076190493479
49,4.30327918096694,172.436722997719
50,4.74679774097239,190.032266527233
51,5.23415875434438,208.890946072258
52,5.48748556867645,229.0252188225
53,5.75104782832927,250.422962126912
54,6.02049119708534,273.049356341371
55,6.30144137589445,296.813192033199
56,6.59153583403367,321.428159067835
57,6.76578785402438,346.2817674803
58,6.89255877050419,372.836041254311
59,6.99458116544736,405.058514514253
60,7.06904329480244,435.001863548511
61,7.11847142889849,462.252718608369
62,7.14879513475063,493.058066780986
63,7.16589269609205,532.78424788987
64,7.17707451992766,571.557007590406
65,7.18663889681227,608.71660755505
66,7.14880184250734,643.538000619729
67,7.06917583371126,675.268475988199
68,6.98865369495264,703.181915544141
69,6.90852893946481,726.633563687182
70,6.82911111633399,745.077538123313
71,6.75063404703332,758.101845832284
72,6.6732421187104,765.438455579078
73,6.59700256745572,766.973801204082
74,6.52193080178978,762.754793152657
75,6.4480109140452,752.968203863371
76,6.37520919495153,742.524274135518
77,6.30348223563055,754.061932331297
78,6.23278172180005,760.848153092201
79,6.16305747867153,762.720906992838
80,6.09399269897694,759.643126194597
81,6.02599984710133,751.693451842783
82,5.94170723613035,739.068561570083
83,5.57135772716868,722.068856503196
84,5.23067668847671,701.090143233521
85,4.89743365921441,676.597481940966
86,4.58951818248375,653.157587752123
87,4.30154861300707,637.516457164321
88,4.0226490335279,618.104411919509
89,3.76967416359355,604.442487488758
90,3.52581978094986,588.024816622109
91,3.30381706231736,569.162842688812
92,3.08713049430299,553.97292293752
93,2.88850785686855,543.95196289561
94,2.70176670888423,532.010744637171
95,2.52681760367074,517.942342406594
96,2.36296776770399,501.971391706896
97,2.20955520468999,484.385916573749
98,2.06598286868627,465.435091654322
99,1.93207656227776,445.443169526119
100,1.80827267424519,438.387939744876
101,1.69645157720715,430.643346314599
102,1.59840701332621,421.621858053528
103,1.51440444708032,411.420235950034
104,1.44476696250933,400.270791337922
105,1.38800796541153,388.149297328508
106,1.342897943183,389.767854788539
107,1.30703974878406,391.440860540966
108,1.2791341402725,392.718785695314
109,1.25717265351829,395.127868378699
110,1.24033930337697,400.741898355706
111,1.22764117034422,405.266569885525
112,1.21875691300591,408.480781622644
113,1.21345340824013,410.439175583982
114,1.21069382496074,420.868672043581
115,1.21038053052132,432.235558951679
116,1.21242290578954,442.440761363946
117,1.21666839654649,451.309286126192
118,1.2229556001871,458.709052976147
119,1.23113091511027,464.49429506421
120,1.2410536879766,468.560202902607
121,1.25259416262049,470.839668888924
122,1.26526028195406,471.285720644366
123,1.27956991926589,469.880983410823
124,1.29543582009608,466.638623891127
125,1.31256306879766,461.600928321077
126,1.16831721893777,454.809497252298
127,1.02171884625386,446.438835031052
128,0.901231474011183,436.560201225748
129,0.791618853320415,425.247396463509
130,0.695313094705398,412.722764211974
131,0.610707373057266,399.124957101933
132,0.536372899098752,384.621276473497
133,0.471067584865978,369.380478165059
134,0.413699289785199,361.968786216223
135,0.363307093130061,354.111856456088
136,0.319045092713168,345.420404611302
137,0.28016931234697,335.965331829384
138,0.246025876408566,325.843778227974
139,0.216039892996832,315.153851153303
140,0.189705897954809,303.995018486987
141,0.16657974128384,292.465633369852
142,0.146271215521665,280.661595585645
143,0.128437410012339,268.675377910692
144,0.112777013529922,259.312929727163
145,0.0990253684822164,259.985298305974
146,0.0869500169601451,260.147638499159
147,0.0751161752141343,259.796822182515
148,0.0647666179283987,258.934251168148
149,0.0558413745593498,257.566024357236
